Zach Jones 2025 Training Cycle ,,,,,,,,,,,,,,,,
,,if weight or percentage is listed first the secheme is wriiten reps first then sets,,,,,,,,,,,,,,
Week 10,,if no weight or percentage is listed then its written normal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tuesday,11-Feb,,,,,,,,,,,,,,,
Equipped Squats- 270 max,52.5-55%x2-3 belt SD,62.5-65%x1-3 belt SD light wraps,72.5-75%x1-2x1-2 belt  SD/SU wraps,82.5-85%x1x1-2  belt SU wraps,90-93%x1x2-3  belt SU wraps,75-77.5%x2-3x1-2 belt  SD/SU wraps,video please,,,,,,,,,
"bar x10x2-3, 75x4-5x2-3, 110-120x3 belt",142.5-150,170-177.5,197.5-205,222.5-230,242.5-252.5,205-210,new suit,,,,,,,,,
Bench- 175 max,50%x3,60%x3x1-2,65-70%x2x2-3 belt,70-75%x1x3-4 belt,video please,,,,,,,,,,,
"bar x10x2, 60x4-5x2",90,105,115-122.5,122.5-130,pause every rep,,,,,,,,,,,
TKEs with a green band,3-4x15 ea leg,,,,,,,,,,,,,,,
DB Flies,3-4x6,40-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
DB Front Raises seated,3-4x6,40-50 lb dbs,pasue the top and down slow,,,,,,,,,,,,,
Barbell Rollouts,3-4x6-8,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Wednesday,12-Feb,,,,,,,,,,,,,,,
Equipped Bench- 215 max,67.5-70%x1 shirt,75-77.5%x1 shirt,82.5-85%x1x1-2 shirt ,90-92.5%x1x1-2 loose belt  shirt,97.5-102%x1x2-3 loose belt shirt,video please,wear your 42 RAGE X,,,,,,,,,
"bar x8-10x1-2, 60-70x3-4x1-2, 95-100x1, 125-135x1 RAM ",145-152.5 3 bd,162.5-167.5 2 bd,177.5-185 1.5-1 bd,195-200 1-.5 bd,210-220 .5-no bd,pause all reps,,,,,,,,,,
Equipped Board Press- 2 board - 215 max,102.5-107.5%x1x2 belt shirt,video please,wear your 42 RAGE X,,,,,,,,,,,,,
2 board,220-232.5,pause all reps,,,,,,,,,,,,,,
Conventional Deads with a defcit - 245 max,50%x3 belt ,60%x3x2-3 belt ,65-70%x2x4-5 belt  ,video please,,,,,,,,,,,,
"2 mats, bar x10x2, 70-75x4-5x2, 105-115x3",125,145-147.5,160-172.5,,,,,,,,,,,,,
Pullups,4-5x6-8,pause the top and down slow,,,,,,,,,,,,,,
Tricep Pushdowns with Straight Bar,4-5x6-8,pause the bottom and up slow,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Front Elbow Bridge,4-5x45-:55 Seconds, put 10-25 lbs of plates on your back if very easy ,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Thursday,13-Feb,,,,,,,,,,,,,,,
30-60 minutes of light to medium cardio,work in 5-10 sled pushes for 25 yards into the 15-30 minutes of cardio with a 3 to 1 rest to work ratio ,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Friday,14-Feb,,,,,,,,,,,,,,,
Narrow Grip Bench- 175 max,50-52.5%x3,60-62.5%x3x2,70%x2x4-5 belt,video please,,,,,,,,,,,,
"bar x10x1-2, 60-70x4-5x1-2",90-92.5,105-110,125,pause every rep,,,,,,,,,,,,
Board Press- 2 board  - 175 max,75%x3 belt,80%x2-3x1-2 belt,85%x1-2x3-4 belt,video please,,,,,,,,,,,,
,132.5,140,150,pause every rep,,,,,,,,,,,,
Squats- 230 max,50%x3 belt,60%x3 belt,70%x3x2 belt,75-77.5%x2x3-4 belt,video please,,,,,,,,,,,
"bar x10x1-2, 65-75x5-6x1-2",115,140,162.5,172.5-180,,,,,,,,,,,,
Overhead Shoulder Press- 85 max,50-55%x3,60-65%x3,70-75%x2x1-2 belt,video please,,,,,,,,,,,,
bar x8-10,42.5-47.5,50-55,60-65,pause every rep,,,,,,,,,,,,
DB Rear Delt Raises,3-4x6-8,35-45 lb dbs,,,,,,,,,,,,,,
Barbell Rollouts,3-4x6-8,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Saturday,15-Feb,,,,,,,,,,,,,,,
Equipped Deads - Conventional- 255 max,52.5-55%x2-3 belt SD,62.5-65%x1-3 belt SD,72.5-75%x1-2x1-2 belt  SD/SU,82.5-85%x1x1-2  belt SU ,90-93%x1x2-3  belt SU ,video please,,,,,,,,,,
"bar x10x2, 75x4-5x2, 105-110x2-3 belt",135-140,160-167.5,185-192.5,210-217.5,230-237.5,,,,,,,,,,,
Equipped Deads off the blocks- Conventional- 255 Max,85-87.5%x1 belt SU,95-100%x1x1-2 belt SU,video please,,,,,,,,,,,,,
bar starts 2-3 inches below the knees,217.5-225,242.5-255,,,,,,,,,,,,,,
Bench- 175 max,50%x3,60%x3,70%x3x2 belt,77.5-80%x2x2 belt,video please,,,,,,,,,,,
"bar x10x1-2, 60-70x4-5x1-2",90,105,125,135-140,pause every rep,,,,,,,,,,,
RAM Press- 205 max,72.5-77.5%x2-3 belt,80-82.5%x2 belt,85-87.5%x1-2x2-3 belt,video please,,,,,,,,,,,,
,150-160 RAM ,165-170 RAM ,175-180 RAM ,pause every rep,,,,,,,,,,,,
RAM 2 BD Press- 205 max,90-92.5%x1-2x2 belt,video please,,,,,,,,,,,,,,
,185-190 RAM ,pause every rep,,,,,,,,,,,,,,
DB Rows,1-2x6-8 ea side,80-110 lb db,pause it at the top and go 2 seconds on the way back down,,video please of the dips,,,,,,,,,,,
Weighted Dips,"bodyweight x5-6, 1-2x3 reps  65-115 lbs",,video please,"head down, knees bent and feet crossed over and behind you, hips pushed forward, down slow, pause the top",,,,,,,,,,,,
Front Elbow Bridge,1-2x:45-:55 Seconds, put 10-25 lbs of plates on your back if very easy ,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Sunday,16-Feb,,,,,,,,,,,,,,,
30-60 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
