Zach Jones 2025 Training Cycle ,,,,,,,,,,,,,,,,
,,if weight or percentage is listed first the secheme is wriiten reps first then sets,,,,,,,,,,,,,,
Week 20,,if no weight or percentage is listed then its written normal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Monday,21-Apr,,,,,,,,,,,,,,,
Conventional Deads - 245 max,55-57.5%x5 belt,65-67.5%x4 belt,75-77.5%x3x1-2 belt,85-87.5%x2x3-4 belt,video please,,,,,,,,,,,
" bar x10x2, 70-75x6x2, 110-120x5 ",135-142.5,160-165,185-190,207.5-215,,,,,,,,,,,,
Deads paused at the knees- 245 max,75-80%x2x1-2 belt,video please,,,,,,,,,,,,,,
,185-197.5,,,,,,,,,,,,,,,
Bench- 180 max,50%x5,60%x4,70%x3x2 belt,77.5-80%x2-3x3 belt,video please,,,,,,,,,,,
"bar x10x3-4, 60-70x6x3-4",90,110,127.5,140-145,pause every rep,,,,,,,,,,,
RAM Press- 210 max,72.5-75%x2-3x1-2 belt,80-82.5%x1-2x3 belt,video please,,,,,,,,,,,,,
,152.5-160,167.5-175,pause every rep,,,,,,,,,,,,,
RAM 2 BD Press- 210 max,85-87.5%x1-2x2-3 belt,video please,,,,,,,,,,,,,,
,177.5-185,pause every rep,,,,,,,,,,,,,,
Hamstring Curls,2-3x10,pause the top and down slow,,,,,,,,,,,,,,
Pullups,2-4x10,pause the top and down slow,,,,,,,,,,,,,,
DB Flies,2-4x10,40-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Front Elbow Bridge,3-4x:65-:75 Seconds, put 10-25 lbs of plates on your back if very easy ,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tuesday,22-Apr,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Wednesday,23-Apr,,,,,,,,,,,,,,,
Squats- 235 max,55-57.5%x5 belt,65-67.5%x4 belt,75-77.5%x3x1-2 belt,85-87.5%x2x3-4 belt,video please,,,,,,,,,,,
"bar x10x1-2, 75x6x1-2, 105-110x5",130-135,152.5-160,175-182.5,200-207.5,,,,,,,,,,,,
Pause Squats- 235 max,75-80%x2x1-2 belt,video please,,,,,,,,,,,,,,
pasue the bottom for a 1-one thousand count at the bottom,175-190,,,,,,,,,,,,,,,
Equipped Bench- 210-215 max,57.5-60%x1-3 ,65-67.5%x1-3 shirt,72.5-75%x1-2 shirt ,80-82.5%x1x1-2 belt shirt,87.5-90%x1x4-5 belt shirt,video please,,,,,,,,,,
"bar x10x1-2, 60-70x5-6x1-2, 90x3-4, 105-110x2-3",125-130 slingshot or old Ram,140-145  2 bd,155-162.5 1.5-1 bd,172.5-177.5 1-.5 bd,187.5-195 .5-.25 bd,pause all reps,***wear your smaller Rage X,,,,,,,,,
Equipped Board Press- 2 board - 210-215 max,92.5-95%x1x3-4 belt shirt,video please,,,,,,,,,,,,,,
2 board,200-205,pause all reps,,,,,,,,,,,,,,
TKEs with a green band,2-3x15-20 ea leg,,,,,,,,,,,,,,,
DB Flies,2-3x10,40-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Straight Bar Tricep Pushdowns,2-3x10,,pasue the top and down slow,,video please of the dips,,,,,,,,,,,
Barbell Rollouts,2-3x10,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Thursday,24-Apr,,,,,,,,,,,,,,,
High Bar or Saftery Bar Squats - 235 max,45-50%x5 belt,55-60%x4 belt,60-65%x3x1-2 belt,65-70%x2x1-2 belt,feet a little closer than normal ,,,,,,,,,,,
"bar x10x2, 65-75x6x2, 90-100x5 if needed",105-120,130-142.5,142.5-155,155-165,video please,,,,,,,,,,,
Bench- 180 max,50%x5,60%x4,70%x3x2 belt,75-77.5%x2x5 belt,video please,,,,,,,,,,,
"bar x10x3-4, 60-70x6x3-4",90,110,125-127.5,135-140,pause every rep,,,,,,,,,,,
2 second Paused Bench- 180 max,67.5-72.5%x2-3x4 belt,video please,,,,,,,,,,,,,,
,120-132.5,pause every rep,,,,,,,,,,,,,,
Conventional Deads with a deficit - 245 max,50-55%x4-5 belt ,60-65%x3-4x1-2 belt ,70-75%x2-3x2-3 belt  ,video please,,,,,,,,,,,,
"2 mats, bar x10x1-2, 70-75x6x1-2, 100-110x5 ",125-135,145-160,170-185,,,,,,,,,,,,,
DB Rows,2-3x10 ea side,90-110 lb db,pause it at the top and go 2 seconds on the way back down,,,,,,,,,,,,,
Weighted Dips,"or  bodyweight x5-6, 2-3x3  55-115 lbs",,pause the bottom and up slow,video please,,,,,,,,,,,,
Front Elbow Bridge,2-3x:60-:70 Seconds, put 10-25 lbs of plates on your back if very easy ,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Friday,25-Apr,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
