Zach Jones 2025 Training Cycle ,,,,,,,,,,,,,,,,
,,if weight or percentage is listed first the secheme is wriiten reps first then sets,,,,,,,,,,,,,,
Week 19,,if no weight or percentage is listed then its written normal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Monday,14-Apr,,,,,,,,,,,,,,,
Squats- 235 max,55-57.5%x4-5 belt,65-67.5%x3-4 belt,75-77.5%x2-3x1-2 belt,85-87.5%x1-2x3-4 belt,video please,,,,,,,,,,,
"bar x10x1-2, 75x6x1-2, 105-110x5",130-135,152.5-160,175-182.5,200-207.5,,,,,,,,,,,,
Pause Squats- 235 max,75-80%x1-2x1-2 belt,video please,,,,,,,,,,,,,,
pasue the bottom for a 1-one thousand count at the bottom,175-190,,,,,,,,,,,,,,,
Bench- 180 max,50%x6,60%x5,70%x4 belt,75%x3x2 belt,80%x2x2 belt,video please,,,,,,,,,,
"bar x10-12x3-4, 60x6x3-4",92.5,110,127.5,135,145,pause every rep,,,,,,,,,,
85%x1-2x2 belt,80%x2-3x2 belt,75%x3-4x1-2 belt,70%x5-6 belt,60%x8-10,50%x10-12,video please,,,,,,,,,,
155,145,135,127.5,110,92.5,pause every rep,,,,,,,,,,
TKEs with a green band,2-3x15 ea leg,,,,,,,,,,,,,,,
DB Flies,3-5x8-10,40-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Straight Bar Tricep Pushdowns,3-5x8-10,,pasue the top and down slow,,,,,,,,,,,,,
Barbell Rollouts,3-4x8-10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tuesday,15-Apr,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,work in 5-10 sled pushes for 25 yards into the 15-30 minutes of cardio with a 3 to 1 rest to work ratio ,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Wednesday,16-Apr,,,,,,,,,,,,,,,
Conventional Deads - 245 max,55-57.5%x4-5 belt,65-67.5%x3-4 belt,75-77.5%x2-3x1-2 belt,85-87.5%x1-2x3-4 belt,video please,,,,,,,,,,,
" bar x10x2, 70-75x6x2, 110-120x5 ",135-142.5,160-165,185-190,207.5-215,,,,,,,,,,,,
Deads paused at the knees- 245 max,75-80%x1-2x1-2 belt,video please,,,,,,,,,,,,,,
,185-197.5,,,,,,,,,,,,,,,
Bench- 180 max,50%x5,60%x4,70%x3x2 belt,80%x2-3x3 belt,video please,,,,,,,,,,,
