Zach Jones 2025 Training Cycle ,,,,,,,,,,,,,,,,
,,if weight or percentage is listed first the secheme is wriiten reps first then sets,,,,,,,,,,,,,,
Week 15,,if no weight or percentage is listed then its written normal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Monday,17-Mar,,,,,,,,,,,,,,,
Squats- 230-235 max,50%x5 belt,60%x4 belt,67.5-70%x3x2 belt,72.5-80%x2-3x5 belt,video please,,,,,,,,,,,
"bar x10x1-2, 75x6x1-2",120,142.5,160-165,170-190,,,,,,,,,,,,
Pause Squats- 230-235 max,60-70%x2-3x3 belt,video please,,,,,,,,,,,,,,
pasue the bottom for a 1-one thousand count at the bottom,142.5-165,,,,,,,,,,,,,,,
Bench- 175 max,50%x5 ,60%x4,70%x3x2 belt,77.5-80%x2-3x5 belt,video please,,,,,,,,,,,
"bar x10-15x2-3, 60x6-8x2-3",90,105,122.5-125,135-140,pause every rep,,,,,,,,,,,
2 second Paused Bench- 175 max,67.5-75%x2-3x3-4 belt,video please,,,,,,,,,,,,,,
,120-130,pause every rep,,,,,,,,,,,,,,
TKEs with a green band,3-4x15 ea leg,,,,,,,,,,,,,,,
DB Flies,3-4x10,35-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Straight Bar Tricep Pushdowns,3-4x10,,pasue the top and down slow,,,,,,,,,,,,,
Barbell Rollouts,3-4x10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tuesday,18-Mar,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,work in 5-10 sled pushes for 25 yards into the 15-30 minutes of cardio with a 3 to 1 rest to work ratio ,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Wednesday,19-Mar,,,,,,,,,,,,,,,
Conventional Deads - 245 max,50%x5 belt,60%x4 belt,67.5-70%x3x2 belt,72.5-80%x2-3x5 belt,video please,,,,,,,,,,,
" bar x10x2, 70-75x6x2, 100-105x5 if needed",125,147.5,165-172.5,177.5-197.5,,,,,,,,,,,,
Deads paused at the knees- 245 max,62.5-70%x2-3x3 belt,video please,,,,,,,,,,,,,,
,155-172.5,,,,,,,,,,,,,,,
Bench- 175 max,50%x6,60%x5,70%x4x2 belt,75%x3x2 belt,video please,,,,,,,,,,,
"bar x10-12x3-4, 60x6x3-4",90,105,125,132.5,pause every rep,,,,,,,,,,,
80%x2-3x2-3 belt,75%x3-4x2 belt,70%x4-5x2 belt,60%x6-8,50%x8-10,video please,,,,,,,,,,,
140,132.5,125,105,90,pause every rep,,,,,,,,,,,
Hamstring Curls,3-4x10,pause the top and down slow,,,,,,,,,,,,,,
Pullups,3-4x10,pause the top and down slow,,,,,,,,,,,,,,
DB Flies,3-4x12,35-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Front Elbow Bridge,3-4x:55-:65 Seconds, put 10-25 lbs of plates on your back if very easy ,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Thursday,20-Mar,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,work in 5-10 sled pushes for 25 yards into the 15-30 minutes of cardio with a 3 to 1 rest to work ratio ,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Friday,21-Mar,,,,,,,,,,,,,,,
Squats- 230-235 max,50%x5 belt,60%x5x2 belt,65-70%x4-5x5 belt,video please,,,,,,,,,,,,
"bar x10x2, 75x6x2, 100-105x5 if needed",120,142.5,152.5-165,,,,,,,,,,,,,
High Bar or Saftery Bar Squats - 230-235 max,57.5-65%x4-5x3 belt,,,,,,,,,,,,,,,
feet a little closer than normal ,135-155,video please,,,,,,,,,,,,,,
Bench- 175 max,50%x5,60%x4,70%x3x2 belt,80%x3x3 belt,video please,,,,,,,,,,,
"bar x10x3-4, 60x6x3-4",87.5-90,105,122.5-125,140,pause every rep,,,,,,,,,,,
RAM Press- 205-210 max,72.5-75%x3x1-2 belt,80-85%x2-3x3 belt,video please,,,,,,,,,,,,,
,155-160,167.5-180,pause every rep,,,,,,,,,,,,,
RAM 2 BD Press- 205-210 max,85-90%x2-3x3 belt,video please,,,,,,,,,,,,,,
,177.5-190,pause every rep,,,,,,,,,,,,,,
Leg Press,3-4x6-8,,,,,,,,,,,,,,,
DB Rear Delt Raises,3-4x8,35-45 lb dbs,,,,,,,,,,,,,,
DB Flies,3-4x8,35-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Barbell Rollouts,3-4x8,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Saturday,22-Mar,,,,,,,,,,,,,,,
Bench- 175 max,50%x4-5,60%x3-4x2,70%x2-3x4 belt,video please,,,,,,,,,,,,
