Zach Jones 2025 Training Cycle ,,,,,,,,,,,,,,,,
,,if weight or percentage is listed first the secheme is wriiten reps first then sets,,,,,,,,,,,,,,
Week 17,,if no weight or percentage is listed then its written normal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Monday,31-Mar,,,,,,,,,,,,,,,
Squats- 230-235 max,52.5%x5 belt,62.5%x4 belt,72.5%x3x1-2 belt,82.5%x3x1-2 belt,85%x2x2-3 belt,video please,,,,,,,,,,
"bar x10x1-2, 75x6x1-2, 100-105x5 if needed",122.5-125,145-147.5,170,192.5-195,200,,,,,,,,,,,
Pause Squats- 230-235 max,72.5-75%x2 belt,75-77.5%x2 belt,video please,,,,,,,,,,,,,
pasue the bottom for a 1-one thousand count at the bottom,170-177.5,177.5-182.5,,,,,,,,,,,,,,
Bench- 175 max,50-52.5%x5,60-62.5%x4,70-72.5%x3x2 belt,80-82.5%x2-3x3-4 belt,video please,,,,,,,,,,,
"bar x10x3-4, 60-70x6x3-4",87.5-92.5,105-110,122.5-127.5,140-145,pause every rep,,,,,,,,,,,
RAM Press- 205-210 max,77.5-80%x2-3x1-2 belt,85-90%x1-3x3-4 belt,video please,,,,,,,,,,,,,
,162.5-170,180-190,pause every rep,,,,,,,,,,,,,
RAM 2 BD Press- 205-210 max,90-95%x1-3x2-3 belt,video please,,,,,,,,,,,,,,
,190-200,pause every rep,,,,,,,,,,,,,,
TKEs with a green band,2-3x20 ea leg,,,,,,,,,,,,,,,
DB Flies,3-5x12,40-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Straight Bar Tricep Pushdowns,3-5x12,,pasue the top and down slow,,,,,,,,,,,,,
Barbell Rollouts,3-4x12,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tuesday,1-Apr,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,work in 5-10 sled pushes for 25 yards into the 15-30 minutes of cardio with a 3 to 1 rest to work ratio ,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Wednesday,2-Apr,,,,,,,,,,,,,,,
Conventional Deads - 245 max,50%x5 belt,60%x4 belt,70%x3x1-2 belt,75-80%x2-3x3-4 belt,video please,,,,,,,,,,,
" bar x10x2, 70-75x6x2, 100-105x5 if needed",125,145-147.5,170,185-197.5,,,,,,,,,,,,
Deads paused at the knees- 245 max,65-72.5%x2-3x1-2 belt,video please,,,,,,,,,,,,,,
