Zach Jones 2025 Training Cycle ,,,,,,,,,,,,,,,,
,,if weight or percentage is listed first the secheme is wriiten reps first then sets,,,,,,,,,,,,,,
Week 25,,if no weight or percentage is listed then its written normal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Monday,26-May,,,,,,,,,,,,,,,
Conventional Deads with the wagon wheels - 245 max,50%x5 belt,60%x4 belt,65-70%x3x1-2 belt,70-75%x2-3x3-4 belt,video please,,,,,,,,,,,
" bar x10x2-3, 70-75x6x2-3, 105x5 belt",125 wagon wheels,145-147.5 wagon wheels,160-172.5 wagon wheels,170-185 wagon wheels,,,,,,,,,,,,
Bench- 180 max,50%x5,60%x4,70%x3x2 belt,80%x3x4 belt,video please,,,,,,,,,,,
"bar x10x3-4, 60-70x6x3-4",90,110,127.5,145,pause every rep,,,,,,,,,,,
RAM Press- 210 max,75-77.5%x3 belt,80-85%x2-3 belt,85-90%x1-3x3 belt,video please,,,,,,,,,,,,
,160-165,170-180,180-190,pause every rep,,,,,,,,,,,,
RAM 2 BD Press- 210 max,90-95%x1-3x2-3 belt,video please,,,,,,,,,,,,,,
,190-200,pause every rep,,,,,,,,,,,,,,
Straight Bar Tricep Pushdowns,3-3x10,,pasue the top and down slow,,,,,,,,,,,,,
Hamstring Curls,2-3x10,pause the top and down slow,,,,,,,,,,,,,,
DB Flies,3-4x10,40-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Front Elbow Bridge,3-4x:40-:55 Seconds, put 10-25 lbs of plates on your back if very easy ,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tuesday,27-May,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Wednesday,28-May,,,,,,,,,,,,,,,
Bench- 180 max,50%x3,60%x3,70%x3x2 belt,75-77.5%x2x5 belt,video please,,,,,,,,,,,
"bar x8-10x3-4, 60-70x4-5x3-4",90,110,127.5,135-140,pause every rep,,,,,,,,,,,
2 second Paused Bench- 180 max,67.5-72.5%x2x3-4 belt,video please,,,,,,,,,,,,,,
,122.5-132.5,pause every rep,,,,,,,,,,,,,,
Leg Press,5-6x6-8,,,,,,,,,,,,,,,
Leg Extensions,3-4x8,or ,TKEs 3-4x15,,,,,,,,,,,,,
Wide Grip Lat Pulls,3-4x8,pause the end and go slow on the way up ,,,,,,,,,,,,,,
DB Flies,3-4x8,35-45 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Barbell Rollouts,3-4x8,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Thursday,29-May,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Friday,30-May,,,,,,,,,,,,,,,
Equipped Bench- 215 max,62.5%x1,70-72.5%x1 shirt,77.5-80%x1 shirt ,85-87.5%x1x1-2 belt shirt,92.5-97.5%x1x3  belt shirt,video please,,,,,,,,,,
