Zach Jones 2025 Training Cycle ,,,,,,,,,,,,,,,,
,,if weight or percentage is listed first the secheme is wriiten reps first then sets,,,,,,,,,,,,,,
Week 12,,if no weight or percentage is listed then its written normal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Moday,24-Feb,,,,,,,,,,,,,,,
Squats- 230-235 max,50%x5 belt,60%x4 belt,70%x3x1-2 belt,75-80%x2x4-5 belt,video please,,,,,,,,,,,
"bar x10x1-2, 75x6x1-2",120,142.5,165,175-190,,,,,,,,,,,,
Pause Squats- 230-235 max,67.5-72.5%x2 belt,video please,,,,,,,,,,,,,,
pasue the bottom for a 1-one thousand count at the bottom,157.5-170,,,,,,,,,,,,,,,
Bench- 175 max,50%x5 ,60%x4,70%x3x1-2 belt,75-80%x2x5 belt,video please,,,,,,,,,,,
"bar x10x2-3, 60x6x2-3",90,105,125,132.5-140,pause every rep,,,,,,,,,,,
2 second Paused Bench- 175 max,67.5-72.5%x2x1-2 belt,video please,,,,,,,,,,,,,,
,120-127.5,pause every rep,,,,,,,,,,,,,,
Straight Bar Tricep Pushdowns,1-2x10-12,,pasue the top and down slow,,,,,,,,,,,,,
Barbell Rollouts,1-2x10-12,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tuesday,25-Feb,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Wednesday,26-Feb,,,,,,,,,,,,,,,
Conventional Deads - 245 max,50%x5 belt,60%x4 belt,70%x3x1-2 belt,75-80%x2x4-5 belt,video please,,,,,,,,,,,
" bar x10x2, 70-75x6x2, 105-110x5",125,147.5,172.5,185-197.5,,,,,,,,,,,,
Deads paused at the knees- 245 max,67.5-72.5%x2 belt,video please,,,,,,,,,,,,,,
,165-180,,,,,,,,,,,,,,,
Bench- 175 max,50%x5-6,60%x5,70%x4x1-2 belt,75%x3x1-2 belt,video please,,,,,,,,,,,
"bar x10x2-3, 60x6x2-3",90,105,125,130-132.5,pause every rep,,,,,,,,,,,
77.5-80%x2-3x2 belt,75%x3-4x1-2 belt,70%x4-5x1-2 belt,60%x6-8,50%x8-10,video please,,,,,,,,,,,
135-140,130-132.5,125,105,90,pause every rep,,,,,,,,,,,
Pullups,1-2x8-10,pause the top and down slow,,,,,,,,,,,,,,
DB Flies,1-2x10-12,35-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Front Elbow Bridge,1-2x:55-:65 Seconds, put 10-25 lbs of plates on your back if very easy ,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Thursday,27-Feb,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Friday,28-Feb,,,,,,,,,,,,,,,
Squats- 230-235 max,50%x5 belt,60%x5x1-2 belt,65-70%x4-5x3-4 belt,video please,,,,,,,,,,,,
"bar x10x2, 75x6x2",120,142.5,155-165,,,,,,,,,,,,,
Bench- 175 max,50%x5,60%x4,70%x3x1-2 belt,75-80%x2-3x5 belt,video please,,,,,,,,,,,
"bar x10x2-3, 60x6x2-3",87.5-90,105,122.5-125,130-140,pause every rep,,,,,,,,,,,
Board Press- 2 board  - 175 max,80-85%x2-3x1-2 belt,video please,video please,,,,,,,,,,,,,
,140-150,pause every rep,pause every rep,,,,,,,,,,,,,
Conventional Deads with a defcit - 245 max,50%x4-5 belt ,60%x3-4x1-2 belt ,65-70%x2-3x3-4 belt  ,video please,,,,,,,,,,,,
"2 mats, bar x10x1-2, 70-75x6x1-2",125,147.5,160-172.5,,,,,,,,,,,,,
DB Rows,1-2x10-12 ea side,80-105 lb db,pause it at the top and go 2 seconds on the way back down,,,,,,,,,,,,,
Tricep Pushdowns with Straight Bar,1-2x10-12,pause the bottom and up slow,"or Weighted Dips bodyweight x5-6, 2-3x3-4  55-110 lbs",,video please of the dips,,,,,,,,,,,
Barbell Rollouts,1-2x10-12,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Saturday,1-Mar,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Sunday,2-Mar,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
