Zach Jones 2025 Training Cycle ,,,,,,,,,,,,,,,,
,,if weight or percentage is listed first the secheme is wriiten reps first then sets,,,,,,,,,,,,,,
Week 22,,if no weight or percentage is listed then its written normal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Monday,5-May,,,,,,,,,,,,,,,
Conventional Deads - 245 max,50%x2-3 belt,60%x1-3 belt,70%x1-2x1-2 belt,77.5-80%x1x1-2 belt,85-90%x1x2-3 belt,video please,,,,,,,,,,
" bar x10x2, 70-75x3-5x2",125,147.5,172.5,190-197.5,207.5-222.5,,,,,,,,,,,
Deads paused at the knees- 245 max,77.5-82.5%x1x1-2 belt,video please,,,,,,,,,,,,,,
,190-202.5,,,,,,,,,,,,,,,
Bench- 180 max,50%x3-5,60%x3-4,70%x3x2 belt,80%x3x4 belt,video please,,,,,,,,,,,
"bar x10x3-4, 60-70x5-6x3-4",90,110,127.5,145,pause every rep,,,,,,,,,,,
RAM Press- 210 max,75-77.5%x3x1-2 belt,82.5-87.5%x2-2x3 belt,video please,,,,,,,,,,,,,
,160-165,175-185,pause every rep,,,,,,,,,,,,,
RAM 2 BD Press- 210 max,87.5-92.5%x1-3x3 belt,video please,,,,,,,,,,,,,,
,185-195,pause every rep,,,,,,,,,,,,,,
Straight Bar Tricep Pushdowns,3-5x8,,pasue the top and down slow,,,,,,,,,,,,,
Hamstring Curls,2-3x6-8,pause the top and down slow,,,,,,,,,,,,,,
DB Flies,3-5x8,40-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Front Elbow Bridge,3-5x:60-:70 Seconds, put 10-25 lbs of plates on your back if very easy ,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tuesday,6-May,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Wednesday,7-May,,,,,,,,,,,,,,,
Bench- 180 max,50%x5,60%x4,70%x3x2 belt,75-77.5%x2x5 belt,video please,,,,,,,,,,,
"bar x10x3-4, 60-70x6x3-4",90,110,125-127.5,135-140,pause every rep,,,,,,,,,,,
2 second Paused Bench- 180 max,67.-72.5%x2x4-5 belt,video please,,,,,,,,,,,,,,
,120-132.5,pause every rep,,,,,,,,,,,,,,
Squats- 230-235 max,50%x2-3 belt,60%x1-3 belt,70%x1-2x1-2 belt,77.5-80%x1x1-2 belt,85-90%x1x2-3 belt,video please,,,,,,,,,,
"bar x10x2, 75x3-5x2, 100x3 if needed",120,142.5,165,182.5-190,200-212.5,,,,,,,,,,,
Pause Squats- 235 max,77.5-82.5%x1x1-2 belt,video please,,,,,,,,,,,,,,
pause the bottom for a 1-one thousand count at the bottom,182.5-195,,,,,,,,,,,,,,,
TKEs with a green band,2-3x15 ea leg,,,,,,,,,,,,,,,
Pullups,3-4x8,pause the top and down slow,,,,,,,,,,,,,,
DB Flies,3-4x8,40-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Barbell Rollouts,3-4x8,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Thursday,8-May,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Friday,9-May,,,,,,,,,,,,,,,
Equipped Bench- 210-215 max,62.5%x1,70-72.5%x1 shirt,77.5-80%x1 shirt ,85-87.5%x1x1-2 belt shirt,92.5-95%x1x3-4 belt shirt,video please,,,,,,,,,,
"bar x10x1-2, 60-70x4-5x1-2, 90x1-2, 110-115x1",135 RAM,152.5-160 2 bd,170-175 1.5-1 bd,185-190 1-.5 bd,200-205  .5-no bd,pause all reps,***wear your smaller Rage X,,,,,,,,,
Equipped Board Press- 2 board - 210-215 max,97.5-102.5%x1x2-3 belt shirt,video please,,,,,,,,,,,,,,
2 board,210-220,pause all reps,,,,,,,,,,,,,,
Conventional Deads with a defcit - 245 max,50-52.5%x4-5 belt ,60-62.5%x3-4x1-2 belt ,70-72.5%2-3x3-4 belt  ,video please,,,,,,,,,,,,
"2 mats, bar x10x2, 70-75x5-6x2, 110-105x4-5 if needed",125-130,145-155,170-180,,,,,,,,,,,,,
Conventional Deads - 245 max,75-77.5%x2-3x1-2  belt  ,video please,,,,,,,,,,,,,,
,185-190,,,,,,,,,,,,,,,
Reverse Hypers,2-3x8,,,,,,,,,,,,,,,
DB Rear Delt Raises,3-5x8,35-45 lb dbs,,,,,,,,,,,,,,
DB Flies,3-5x8,40-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Barbell Rollouts,3-4x8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Saturday,10-May,,,,,,,,,,,,,,,
Narrow Grip Bench- 180 max,50%x3,60%x3x2,70%x2-3x4-5 belt,video please,,,,,,,,,,,,
"bar x10x3-4, 60x4-5x3-4",90,110,127.5,pause every rep,,,,,,,,,,,,
Board Press- 2 board  - 180 max,75-77.5%x3 belt,80-82.5%x2-3 belt,85-87.5%x1-3x3-4 belt,video please,,,,,,,,,,,,
,135-140,145-150,155-160,pause every rep,,,,,,,,,,,,
Squats- 235 max,50%x3 belt,60%x3 belt,70%x3x1-2 belt,75%x2x3-4 belt,video please,,,,,,,,,,,
"bar x10x2, 75x4-5x2, 100-105x3 if needed",120,142.5,165,175-177.5,,,,,,,,,,,,
Pause Squats- 235 max,65-70%x2x1-2 belt,video please,,,,,,,,,,,,,,
pause the bottom for a 1-one thousand count at the bottom,155-165,,,,,,,,,,,,,,,
Leg Press,2-3x5-6,,,,,,,,,,,,,,,
DB Rows,3-5x6-8 ea side,80-100 lb db,pause it at the top and go 2 seconds on the way back down,,video please of the dips,,,,,,,,,,,
Tricep Pushdowns with Straight Bar,3-5x6-8,pause the bottom and up slow,"or Weighted Dips bodyweight x5-6, 2-3x3-4  55-110 lbs",,,,,,,,,,,,,
Front Elbow Bridge,3-4x:45-:55 Seconds, put 10-25 lbs of plates on your back if very easy ,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Sunday,11-May,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
