Zach Jones 2024 Training Cycle ,,,,,,,,,,,,,,,,
,,if weight or percentage is listed first the secheme is wriiten reps first then sets,,,,,,,,,,,,,,
Week 5,,if no weight or percentage is listed then its written normal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Monday,6-Jan,,,,,,,,,,,,,,,
Equipped Bench- 210-215 max,57.5-60%x2-3 ,65-67.5%x2-3 shirt,72.5-75%x1-3 shirt ,80-82.5%x1-2x1-2 belt shirt,85-87.5%x1-2x4-5 belt shirt,video please,,,,,,,,,,
"bar x10x1-2, 60-70x6x1-2, 90x4-5, 105-110x3-4",125-130 slingshot or old Ram,140-145 2.5-2 bd,155-162.5 2-1.5 bd,172.5-177.5 1.5-1 bd,182.5-190 1-.5 bd,pause all reps,,,,,,,,,,
Equipped Board Press- 2 board - 210-215 max,90-92.5%x1-2x3-4 belt shirt,video please,,,,,,,,,,,,,,
2 board,195-200,pause all reps,,,,,,,,,,,,,,
Squats- 230 max,50%x5 belt,60%x4 belt,70%x3x2 belt,75-77.5%x2-3x3-4 belt,video please,,,,,,,,,,,
"bar x10x1-2, 65-75x6x1-2",115,140,162.5,172.5-180,,,,,,,,,,,,
Tricep Pushdowns with Straight Bar,2-4x10-12,pause the bottom and up slow,,,,,,,,,,,,,,
DB Front Raises seated,2-4x10-12,40-50 lb dbs,pasue the top and down slow,,,,,,,,,,,,,
Barbell Rollouts,2-4x10-12,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tuesday,7-Jan,,,,,,,,,,,,,,,
30 minutes of light to medium cardio,work in 5-10 sled pushes for 25 yards into the 15-30 minutes of cardio with a 3 to 1 rest to work ratio ,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Wednesday,8-Jan,,,,,,,,,,,,,,,
Bench- 175-180 max,50%x5,60%x4,70%x3x2 belt,77.5-80%x2-3x5 belt,video please,,,,,,,,,,,
"bar x10x2, 60x6x2",90,107.5-110,125-127.5,140-145,pause every rep,,,,,,,,,,,
2 second Paused Bench- 175-180 max,70-75%x2-3x4 belt,video please,,,,,,,,,,,,,,
,125-135,pause every rep,,,,,,,,,,,,,,
Conventional Deads - 245 max,50-52.5%x3 belt,60-62.5%x3 belt,70-72.5%x2-3x1-2 belt,80-82.5%x1-2x1-2 belt,87.5-90%x1-2x3-4 belt,video please,,,,,,,,,,
" bar x10x2, 70-75x5x2, 105-110x4",125-130,147.5-155,172.5-180,195-202.5,212.5-222.5,,,,,,,,,,,
Pullups,3-4x10-12,pause the top and down slow,,,,,,,,,,,,,,
DB Flies,3-4x12,35-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Front Elbow Bridge,3-4x:60-:70 Seconds, put 10-25 lbs of plates on your back if very easy ,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Thursday,9-Jan,,,,,,,,,,,,,,,
30 minutes of light to medium cardio,work in 5-10 sled pushes for 25 yards into the 15-30 minutes of cardio with a 3 to 1 rest to work ratio ,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Friday,10-Jan,,,,,,,,,,,,,,,
Bench- 177.5-180 max,50%x5,60%x4,70%x3x2 belt,80%x3x3 belt,video please,,,,,,,,,,,
