Zach Jones 2024 Training Cycle ,,,,,,,,,,,,,,,,
,,if weight or percentage is listed first the secheme is wriiten reps first then sets,,,,,,,,,,,,,,
Week 6,,if no weight or percentage is listed then its written normal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Monday,13-Jan,,,,,,,,,,,,,,,
Equipped Bench- 210-215 max,60-62.5%x1-3 ,67.5-70%x1-3 shirt,75-77.5%x1-2 shirt ,82.5-85%x1x1-2 belt shirt,87.5-92.5%x1x4-5 belt shirt,video please,,,,,,,,,,
"bar x10x1-2, 60-70x6x1-2, 90x3-4, 110x2-3",130-135 slingshot or old Ram,145-152.5 2.5-2 bd,160-167.5  1.5-1 bd,175-185 1-.5 bd,187.5-200 .5-no bd,pause all reps,,,,,,,,,,
Equipped Board Press- 2 board - 210-215 max,92.5-97.5%x1x3-4 belt shirt,video please,,,,,,,,,,,,,,
2 board,197.5-210 2 bd,pause all reps,,,,,,,,,,,,,,
Squats- 230 max,50%x5 belt,60%x4 belt,70%x3x2 belt,77.5-80%x2-3x3-4 belt,video please,,,,,,,,,,,
"bar x10x1-2, 65-75x6x1-2",115,140,162.5,177.5-185,,,,,,,,,,,,
Tricep Pushdowns with Straight Bar,2-4x10,pause the bottom and up slow,,,,,,,,,,,,,,
DB Front Raises seated,2-4x10,35-50 lb dbs,pasue the top and down slow,,,,,,,,,,,,,
Barbell Rollouts,2-4x10,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tuesday,14-Jan,,,,,,,,,,,,,,,
30 minutes of light to medium cardio,work in 5-10 sled pushes for 25 yards into the 15-30 minutes of cardio with a 3 to 1 rest to work ratio ,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Wednesday,15-Jan,,,,,,,,,,,,,,,
Bench- 175-180 max,50%x5,60%x4,70%x3x2 belt,77.5-80%x2x5 belt,video please,,,,,,,,,,,
"bar x10x2, 60x6x2",90,107.5-110,125-127.5,140-145,pause every rep,,,,,,,,,,,
2 second Paused Bench- 175-180 max,70-75%x2x3-4 belt,video please,,,,,,,,,,,,,,
,125-135,pause every rep,,,,,,,,,,,,,,
Conventional Deads - 245 max,52.5-55%x3 belt,62.5-65%x2-3 belt,72.5-75%x1-3x1-2 belt,82.5-85%x1-2x1-2 belt,90-92.5%x1-2x2-3 belt,video please,,,,,,,,,,
" bar x10x2, 70-75x5x2, 105-110x4",127.5-135,152.5-160,177.5-185,200-210,220-227.5,,,,,,,,,,,
Pullups,3-4x10,pause the top and down slow,,,,,,,,,,,,,,
DB Flies,3-4x10,35-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Front Elbow Bridge,3-4x:65-:70 Seconds, put 10-25 lbs of plates on your back if very easy ,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Thursday,16-Jan,,,,,,,,,,,,,,,
30-60 minutes of light to medium cardio,work in 5-10 sled pushes for 25 yards into the 15-30 minutes of cardio with a 3 to 1 rest to work ratio ,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Friday,17-Jan,,,,,,,,,,,,,,,
Bench- 177.5-180 max,50%x5,60%x4,70%x3x2 belt,80%x3x2-3 belt,video please,,,,,,,,,,,
"bar x10x1-2, 60-70x6x1-2",90,107.5-110,125-127.5,145,pause every rep,,,,,,,,,,,
RAM Press- 205 max,80%x3 belt,85%x2-3 belt,87.5-90%x1-3x3 belt,video please,,,,,,,,,,,,
,165 RAM,175 RAM,180-185 RAM,pause every rep,,,,,,,,,,,,
RAM 2 BD Press- 205 max,92.5-95%x1-3x2-3 belt,video please,,,,,,,,,,,,,,
,190-195 RAM,pause every rep,,,,,,,,,,,,,,
Squats- 230 max,52.5%x5 belt,62.5%x4 belt,72.5%x3x1-2 belt,82.5%x2-3x1-2 belt,87.5-92.5%x1-3x3-4 belt,video please,,,,,,,,,,
"bar x10x1-2, 65-75x6x1-2",122.5,145,167.5,190 wraps,200-210 wraps,,,,,,,,,,,
Overhead Shoulder Press- 85 max,55-62.5%x4,65-72.5%x3x1-2,75-82.5%x2-3x1-2 belt,video please,,,,,,,,,,,,
"bar x6-8x2,  35-42.5x5",45-52.5,55-62.5,65-72.5,pause every rep,,,,,,,,,,,,
DB Rear Delt Raises,2-3x8,35-45 lb dbs,,,,,,,,,,,,,,
Barbell Rollouts,2-3x8,,,,,,,,,,,,,,,
