Zach Jones 2024 Training Cycle ,,,,,,,,,,,,,,,,
,,if weight or percentage is listed first the secheme is wriiten reps first then sets,,,,,,,,,,,,,,
Week 1,,if no weight or percentage is listed then its written normal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Monday,9-Dec,,,,,,,,,,,,,,,
Bench- 170-175 max,50%x5,60%x4,70%x3x2 belt,80%x2-3x5 belt,video please,,,,,,,,,,,
"bar x10x1-2, 60x6x1-2",87.5-90,105,125,140-142.5,pause every rep,,,,,,,,,,,
2 second Paused Bench- 170-175 max,67.5-72.5%x2-3x3-4 belt,video please,,,,,,,,,,,,,,
,120-127.5,pause every rep,,,,,,,,,,,,,,
Squats- 230 max,50%x5 belt,57.5-60%x4 belt,65-67.5%x3x1-2 belt,70-72.5%x2-3x4-5 belt,video please,,,,,,,,,,,
"bar x10x1-2, 65-75x6x1-2",115,130-140,150-155,162.5-167.5,,,,,,,,,,,,
Tricep Pushdowns with Straight Bar,3-4x8-10,pause the bottom and up slow,,,,,,,,,,,,,,
DB Front Raises seated,3-4x8-10,30-35 lb dbs,pasue the top and down slow,,,,,,,,,,,,,
Barbell Rollouts,3-4x8-10,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tuesday,10-Dec,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Wednesday,11-Dec,,,,,,,,,,,,,,,
Bench- 170-175 max,50%x6,60%x5,70%x4x2 belt,75%x3x2 belt,video please,,,,,,,,,,,
"bar x10x1-2, 60-70x6x1-2",87.5-90,105,125,132.5-135,pause every rep,,,,,,,,,,,
80%x2-3x2-3 belt,75%x3-4x2 belt,70%x4-5x2 belt,60%x6-8,50%x8-10,video please,,,,,,,,,,,
140-142.5,132.5-135,125,105,87.5-90,pause every rep,,,,,,,,,,,
Conventional Deads - 245 max,50%x5 belt,57.5-60%x4 belt,65-70%x3x1-2 belt,70-75%x2-3x4-5 belt,video please,,,,,,,,,,,
" bar x10x2, 70-75x6x2, 100-105x5",125,140-147.5,160-172.5,172.5-185,,,,,,,,,,,,
Pullups,3-4x8-10,pause the top and down slow,,,,,,,,,,,,,,
DB Flies,3-4x8-10,30-40 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Front Elbow Bridge,3-4x:45-:55 Seconds,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Thursday,12-Dec,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Friday,13-Dec,,,,,,,,,,,,,,,
Bench- 170-175 max,50%x5,60%x4,70%x3x2 belt,80%x3x5 belt,video please,,,,,,,,,,,
"bar x10x2, 60x6x2",87.5-90,105,125,140-142.5,pause every rep,,,,,,,,,,,
RAM Press- 200-205 max,75-80%x3x1-2 belt,80-85%x2-3x3 belt,video please,,,,,,,,,,,,,
,155-165 RAM,165-175 RAM,pause every rep,,,,,,,,,,,,,
Squats- 230 max,50%x5 belt,55-60%x5x1-2 belt,60-65%x4-5x4-5 belt,video please,,,,,,,,,,,,
"bar x10x1-2, 65-75x6x1-2",115,127.5-140,140-150,,,,,,,,,,,,,
Barbell Standing Shoulder Press,"bar x6-8, 3-4x4-5",40-60 kgs,video please,,,,,,,,,,,,,
DB Rear Delt Raises,3-4x8,30-40 lb dbs,,,,,,,,,,,,,,
Barbell Rollouts,3-4x8,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Saturday,14-Dec,,,,,,,,,,,,,,,
Narrow Grip Bench- 170-175 max,50%x4-5,60%x3-4x2,70%x2-3x4-5 belt,video please,,,,,,,,,,,,
"bar x10x1-2, 60x5-6x1-2",87.5-90,105,125,pause every rep,,,,,,,,,,,,
Board Press- 2 board  - 170-175 max,75-77.5%x3 belt,80-82.5%x3x1-2 belt,85-87.5%x2-3x3-4 belt,video please,,,,,,,,,,,,
,130-137.5,140-145,150-155,pause every rep,,,,,,,,,,,,
Conventional Deads with a defcit - 245 max,50%x4-5 belt ,60%x3-4x1-2 belt ,65-70%x2-3x4-5 belt  ,video please,,,,,,,,,,,,
"2 mats, bar x10x2, 70-75x6x2, 100-105x5",125,147.5,160-172.5,,,,,,,,,,,,,
DB Rows,3-4x8-10 ea side,70-100 lb db,pause it at the top and go 2 seconds on the way back down,,,,,,,,,,,,,
Tricep Pushdowns with Straight Bar,3-4x10,pause the bottom and up slow,,,,,,,,,,,,,,
DB Flies,3-4x10-12,30-40 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Front Elbow Bridge,3-4x:50-:60 Seconds,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
