Zach Jones 2025 Training Cycle ,,,,,,,,,,,,,,,,
,,if weight or percentage is listed first the secheme is wriiten reps first then sets,,,,,,,,,,,,,,
Week 24,,if no weight or percentage is listed then its written normal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Monday,19-May,,,,,,,,,,,,,,,
Conventional Deads - 245 max,45-50%x5 belt,50-55%x4 belt,55-60%x3x2 belt,60-65%x2-3x3-4 belt,video please,,,,,,,,,,,
" bar x10x2, 70-75x6x2, 90-105x5 belt",110-125,125-135,135-147.5,145-160,,,,,,,,,,,,
Bench- 180 max,50%x5,60%x4,70%x3x2 belt,75-80%x2-3x3-4 belt,video please,,,,,,,,,,,
"bar x10x3-4, 60-70x6x3-4",90,110,127.5,137.5-145,pause every rep,,,,,,,,,,,
RAM Press- 210 max,70-75%x2-3x1-2 belt,80-85%x2-3x3 belt,video please,,,,,,,,,,,,,
,160-160,170-180,pause every rep,,,,,,,,,,,,,
RAM 2 BD Press- 210 max,85-90%x2-3x2-3 belt,video please,,,,,,,,,,,,,,
,190-190,pause every rep,,,,,,,,,,,,,,
Straight Bar Tricep Pushdowns,3-3x8-10,,pasue the top and down slow,,,,,,,,,,,,,
Hamstring Curls,2-3x8-10,pause the top and down slow,,,,,,,,,,,,,,
DB Flies,3-4x8-10,40-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Front Elbow Bridge,3-4x:30-:45 Seconds, put 10-25 lbs of plates on your back if very easy ,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tuesday,20-May,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Wednesday,21-May,,,,,,,,,,,,,,,
Bench- 180 max,50%x5,60%x4,70%x3x2 belt,77.5-80%x3x5 belt,video please,,,,,,,,,,,
"bar x10x3-4, 60-70x6x3-4",90,110,127.5,140-145,pause every rep,,,,,,,,,,,
2 second Paused Bench- 180 max,70-75%x2-3x4-5 belt,video please,,,,,,,,,,,,,,
,125-137.5,pause every rep,,,,,,,,,,,,,,
Leg Press,5-6x8-10,,,,,,,,,,,,,,,
Leg Extensions,3-4x8-10,or ,TKEs 3-4x15-20,,,,,,,,,,,,,
Wide Grip Lat Pulls,3-4x8-10,pause the end and go slow on the way up ,,,,,,,,,,,,,,
DB Flies,3-4x8-10,40-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Barbell Rollouts,3-4x8-10,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Thursday,22-May,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Friday,23-May,,,,,,,,,,,,,,,
Conventional Deads with the wagon wheels - 245 max,50%x5 belt,55-60%x4 belt,60-65%x3x1-2 belt,65-70%x2-3x3-4 belt,video please,,,,,,,,,,,
" bar x10x2, 70-75x6x2, 105x5 belt",125 wagon wheels,135-147.5  wagon wheels,147.5-160  wagon wheels,160-172.5  wagon wheels,,,,,,,,,,,,
Bench- 180 max,50%x5,60%x4,70%x3x2 belt,80%x3x5 belt,video please,,,,,,,,,,,
"bar x10x3-4, 60-70x6x3-4",90,110,127.5,145,pause every rep,,,,,,,,,,,
RAM Press- 210 max,75-77.5%x3x2 belt,82.5-87.5%x2-3x3 belt,video please,,,,,,,,,,,,,
,160-165,175-185,pause every rep,,,,,,,,,,,,,
Reverse Hypers,3-4x8,,,,,,,,,,,,,,,
DB Rear Delt Raises,4-5x8,35-45 lb dbs,,,,,,,,,,,,,,
DB Flies,4-5x8,40-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Front Elbow Bridge,3-4x:35-:50 Seconds, put 10-25 lbs of plates on your back if very easy ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Saturday,24-May,,,,,,,,,,,,,,,
Narrow Grip Bench- 180 max,50-52.5%x4-5,60-62.5%x3-4x2,70-72.5%x2-3x4-5 belt,video please,,,,,,,,,,,,
"bar x10x3-4, 60-70x5-6x3-4",90-95,110-115,125-132.5,pause every rep,,,,,,,,,,,,
Board Press- 2 board  - 180 max,75-77.5%x3 belt,80-82.5%x3 belt,85-87.5%x2-3x3-4 belt,video please,,,,,,,,,,,,
,135-140,145-150,155-160,pause every rep,,,,,,,,,,,,
Leg Press,5-6x10,,,,,,,,,,,,,,,
Leg Extensions,3-4x10,,,,,,,,,,,,,,,
Split Grip / Neutral  Lat Pulls,4-5x10,pause the end and go slow on the way up ,,,,,,,,,,,,,,
Tricep Pushdowns with Straight Bar,4-5x10,pause the bottom and up slow,"or Weighted Dips bodyweight x5-6, 2-3x3-4  55-110 lbs",,,,,,,,,,,,,
Front Elbow Bridge,4-5x:40-:55 Seconds, put 10-25 lbs of plates on your back if very easy ,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Sunday,25-May,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
