Zach Jones 2025 Training Cycle ,,,,,,,,,,,,,,,,
,,if weight or percentage is listed first the secheme is wriiten reps first then sets,,,,,,,,,,,,,,
Week 13,,if no weight or percentage is listed then its written normal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tuesday,4-Mar,,,,,,,,,,,,,,,
Squats- 230-235 max,50%x5 belt,60%x4 belt,70%x3x2 belt,75-80%x2-3x5 belt,video please,,,,,,,,,,,
"bar x10x1-2, 75x6x1-2",120,142.5,165,175-190,,,,,,,,,,,,
Pause Squats- 230-235 max,65-72.5%x2-3x3 belt,video please,,,,,,,,,,,,,,
pasue the bottom for a 1-one thousand count at the bottom,155-170,,,,,,,,,,,,,,,
Bench- 175 max,50%x5 ,60%x4,70%x3x2 belt,75-80%x2-3x5 belt,video please,,,,,,,,,,,
"bar x10-15x2-3, 60x6-8x2-3",90,105,122.5-125,130-140,pause every rep,,,,,,,,,,,
2 second Paused Bench- 175 max,65-72.5%x2-3x3-4 belt,video please,,,,,,,,,,,,,,
,115-127.5,pause every rep,,,,,,,,,,,,,,
TKEs with a green band,3-4x15 ea leg,,,,,,,,,,,,,,,
DB Flies,3-4x8,35-45 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Straight Bar Tricep Pushdowns,3-4x8,,pasue the top and down slow,,,,,,,,,,,,,
Barbell Rollouts,3-4x8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Wednesday,5-Mar,,,,,,,,,,,,,,,
Conventional Deads - 245 max,50%x5 belt,60%x4 belt,70%x3x2 belt,75-80%x2-3x5 belt,video please,,,,,,,,,,,
" bar x10x2, 70-75x6x2, 100-105x5 if needed",125,147.5,172.5,185-197.5,,,,,,,,,,,,
Deads paused at the knees- 245 max,65-72.5%x2-3x3 belt,video please,,,,,,,,,,,,,,
,160-180,,,,,,,,,,,,,,,
Bench- 175 max,50%x6,60%x5,65-70%x4x2 belt,70-75%x3x2 belt,video please,,,,,,,,,,,
"bar x10-12x3-4, 60x6x3-4",90,105,115-125,125-132.5,pause every rep,,,,,,,,,,,
75-80%x2-3x2-3 belt,70-75%x3-4x2 belt,65-70%x4-5x2 belt,60%x6-8,50%x8-10,video please,,,,,,,,,,,
132.5-140,125-132.5,115-125,107.5-110,90,pause every rep,,,,,,,,,,,
Pullups,2-4x8,pause the top and down slow,,,,,,,,,,,,,,
DB Flies,2-4x10,35-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Front Elbow Bridge,2-4x:45-:55 Seconds, put 10-25 lbs of plates on your back if very easy ,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Thursday,6-Mar,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,work in 5-10 sled pushes for 25 yards into the 15-30 minutes of cardio with a 3 to 1 rest to work ratio ,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Friday,7-Mar,,,,,,,,,,,,,,,
Squats- 230-235 max,50-52.5%x5 belt,60-62.5%x5x2 belt,65-72.5%x4-5x5 belt,video please,,,,,,,,,,,,
"bar x10x2, 75x6x2, 100-105x5 if needed",120-125,140-147.5,152.5-170,,,,,,,,,,,,,
High Bar or Saftery Bar Squats - 230-235 max,57.5-67.5%x4-5x3-4 belt,,,,,,,,,,,,,,,
feet a little closer than normal ,135-160,video please,,,,,,,,,,,,,,
Bench- 175 max,50%x5,60%x4,70%x3x2 belt,75-80%x2-3x3-4 belt,video please,,,,,,,,,,,
"bar x10x3-4, 60x6x3-4",87.5-90,105,122.5-125,132.5-140,pause every rep,,,,,,,,,,,
RAM Press- 205-210 max,70-75%x2-3x1-2 belt,77.5-82.5%x1-3x2-3 belt,video please,,,,,,,,,,,,,
,145-160 RAM,162.5-175 RAM,pause every rep,,,,,,,,,,,,,
RAM 2 BD Press- 205-210 max,82.5-87.5%x1-3x2-3 belt,video please,,,,,,,,,,,,,,
,172.5-185 RAM 2 bd,pause every rep,,,,,,,,,,,,,,
DB Rear Delt Raises,3-5x8,30-40 lb dbs,,,,,,,,,,,,,,
Barbell Rollouts,3-5x8,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Saturday,8-Mar,,,,,,,,,,,,,,,
Bench- 175 max,50%x4-5,60%x3-4x2,65-70%x2-3x4-5 belt,video please,,,,,,,,,,,,
"bar x10x3-4, 60x5-6x3-4",87.5-90,105,115-125,pause every rep,,,,,,,,,,,,
Board Press- 2 board  - 175 max,72.5-77.5%x3 belt,77.5-82.5%x3x1-2 belt,82.5-87.5%x1-3x3-4 belt,video please,,,,,,,,,,,,
,127.5-135,135-145,145-155,pause every rep,,,,,,,,,,,,
Conventional Deads with a defcit - 245 max,50-52.5%x4-5 belt ,60-62.5%x3-4x2 belt ,65-72.5%x2-3x4-5 belt  ,video please,,,,,,,,,,,,
"2 mats, bar x10x2, 70-75x6x2",125-130,145-155,160-180,,,,,,,,,,,,,
Conventional Deads - 245 max,65-72.5%x4-5x2-3  belt  ,video please,,,,,,,,,,,,,,
,160-180,,,,,,,,,,,,,,,
DB Rows,3-4x8-10 ea side,80-100 lb db,pause it at the top and go 2 seconds on the way back down,,,,,,,,,,,,,
Tricep Pushdowns with Straight Bar,3-4x10,pause the bottom and up slow,"or Weighted Dips bodyweight x5-6, 2-3x3-4  55-110 lbs",,video please of the dips,,,,,,,,,,,
DB Flies,3-4x12,35-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Front Elbow Bridge,3-4x:50-:60 Seconds, put 10-25 lbs of plates on your back if very easy ,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Sunday,9-Mar,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
