Zach Jones 2025 Training Cycle ,,,,,,,,,,,,,,,,
,,if weight or percentage is listed first the secheme is wriiten reps first then sets,,,,,,,,,,,,,,
Week 7,,if no weight or percentage is listed then its written normal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Monday,20-Jan,,,,,,,,,,,,,,,
Equipped Squats- 270 max,50%x5 belt SD,60%x4 belt SD ,70%x3x1-2 belt  SD wraps,75-80%x2-3x4-5  belt SD wraps,video please,,,,,,,,,,,
"bar x10x2-3, 75x6x2-3, 105x5 belt",135,160-162.5,187.5-190,202.5-217.5,new suit,,,,,,,,,,,
Bench- 175-180 max,50%x3,60%x3,70%x3x2 belt,77.5-80%x2x5 belt,video please,,,,,,,,,,,
"bar x10x2, 60x4-5x2",90,107.5-110,125-127.5,140-145,pause every rep,,,,,,,,,,,
2 second Paused Bench- 175-180 max,70-75%x2x3-4 belt,video please,,,,,,,,,,,,,,
,125-135,pause every rep,,,,,,,,,,,,,,
Tricep Pushdowns with Straight Bar,3-4x8,pause the bottom and up slow,,,,,,,,,,,,,,
DB Front Raises seated,3-4x8,35-50 lb dbs,pasue the top and down slow,,,,,,,,,,,,,
Barbell Rollouts,3-4x8,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tuesday,21-Jan,,,,,,,,,,,,,,,
30 minutes of light to medium cardio,work in 5-10 sled pushes for 25 yards into the 15-30 minutes of cardio with a 3 to 1 rest to work ratio ,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Wednesday,22-Jan,,,,,,,,,,,,,,,
Equipped Bench- 215 max,62.5%x1-2 ,70%x1-2 shirt,77.5%x1x1-2 shirt ,85%x1x1-2 belt shirt,90-95%x1x3-4 belt shirt,video please,,,,,,,,,,
"bar x10x1-2, 60-70x4-5x1-2, 90-95x1-3, 110-115x1-2",135 slingshot or old Ram,152.5-155 2.5-2 bd,167.5-170. 1.5-1 bd,185 .75-.25 bd,195-205 .25-no bd,pause all reps,,,,,,,,,,
Equipped Board Press- 2 board - 215 max,95-100%x1x2-3 belt shirt,video please,,,,,,,,,,,,,,
2 board,205-215,pause all reps,,,,,,,,,,,,,,
Conventional Deads with a defcit - 245 max,50-55%x4-5 belt ,60-65%x3-4x2 belt ,70-75%x2-3x4-5 belt  ,video please,,,,,,,,,,,,
"2 mats, bar x10x2, 70-75x6x2, 105-115x5",125-130,147.5-155,170-180,,,,,,,,,,,,,
Pullups,3-5x8,pause the top and down slow,,,,,,,,,,,,,,
DB Flies,3-5x8,35-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Front Elbow Bridge,3-5x:60-:70 Seconds, put 10-25 lbs of plates on your back if very easy ,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Thursday,23-Jan,,,,,,,,,,,,,,,
30-60 minutes of light to medium cardio,work in 5-10 sled pushes for 25 yards into the 15-30 minutes of cardio with a 3 to 1 rest to work ratio ,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Friday,24-Jan,,,,,,,,,,,,,,,
Bench- 177.5-180 max,50%x5,60%x4,70%x3x2 belt,77.5-80%x2-3x2-3 belt,video please,,,,,,,,,,,
"bar x10x1-2, 60-70x6x1-2",90,107.5-110,125-127.5,140-145,pause every rep,,,,,,,,,,,
RAM Press- 205 max,72.5-75%x3 belt,77.5-80%x3 belt,82.5-85%x2-3x3 belt,video please,,,,,,,,,,,,
,150-155,160-165,170-175,pause every rep,,,,,,,,,,,,
