Zach Jones 2025 Training Cycle ,,,,,,,,,,,,,,,,
,,if weight or percentage is listed first the secheme is wriiten reps first then sets,,,,,,,,,,,,,,
Week 14,,if no weight or percentage is listed then its written normal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Wednesday,12-Mar,,,,,,,,,,,,,,,
Squats- 230-235 max,45-50%x5 belt,55-60%x4 belt,60-70%x3x2 belt,65-75%x2-3x4-5 belt,video please,,,,,,,,,,,
"bar x10x1-2, 75x6x1-2",105-120,130-142.5,140-165,155-175,,,,,,,,,,,,
Pause Squats- 230-235 max,55-67.5%x2-3x2-3 belt,video please,,,,,,,,,,,,,,
pasue the bottom for a 1-one thousand count at the bottom,130-160,,,,,,,,,,,,,,,
Bench- 175 max,50%x5 ,60%x4,65-70%x3x2 belt,70-75%x2-3x5 belt,video please,,,,,,,,,,,
"bar x10-15x2-3, 60x6-8x2-3",90,105,115-125,125-132.5,pause every rep,,,,,,,,,,,
2 second Paused Bench- 175 max,60-70%x2-3x3-4 belt,video please,,,,,,,,,,,,,,
,105-125,pause every rep,,,,,,,,,,,,,,
TKEs with a green band,3-4x10-15 ea leg,,,,,,,,,,,,,,,
DB Flies,3-4x6-8,35-45 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Straight Bar Tricep Pushdowns,3-4x6-8,,pasue the top and down slow,,,,,,,,,,,,,
Barbell Rollouts,3-4x6-8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Thursday,13-Mar,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Friday,14-Mar,,,,,,,,,,,,,,,
Conventional Deads - 245 max,45-50%x5 belt,55-60%x4 belt,60-70%x3x2 belt,65-75%x2-3x4-5 belt,video please,,,,,,,,,,,
"bar x10x2, 70-75x6x2, 90-105x5 if needed",110-125,135-147.5,145-170,160-185,,,,,,,,,,,,
Deads paused at the knees- 245 max,55-67.5%x2-3x2-3 belt,video please,,,,,,,,,,,,,,
,135-165,,,,,,,,,,,,,,,
Bench- 175 max,50%x5 ,60%x4,67.5-70%x3x2 belt,72.5-77.5%x2-3x5 belt,62.5-67.5%x4-5x4 belt,video please,,,,,,,,,,
"bar x10-15x2-3, 60x6-8x2-3",90,105,120-125,127.5-137.5,110-120,pause every rep,,,,,,,,,,
Pullups,4-5x6-8,pause the top and down slow,,,,,,,,,,,,,,
DB Flies,4-5x8,35-45 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Front Elbow Bridge,4-5x:45-:50 Seconds, put 10-25 lbs of plates on your back if very easy ,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Saturday,15-Mar,,,,,,,,,,,,,,,
Squats- 230-235 max,45-50%x5 belt,55-60%x5x1-2 belt,60-65%x4-5x4-5 belt,video please,,,,,,,,,,,,
"bar x10x2, 75x6x2, 100-105x5 if needed",105-120,130-142.5,140-155,,,,,,,,,,,,,
Bench- 175 max,50%x5,60%x4,70%x3x2 belt,75-80%x2-3x3-4 belt,video please,,,,,,,,,,,
"bar x10x3-4, 60x6x3-4",87.5-90,105,122.5-125,132.5-140,pause every rep,,,,,,,,,,,
RAM Press- 205-210 max,70-72.5%x2-3x1-2 belt,75-80%x1-3x2-3 belt,video please,,,,,,,,,,,,,
,145-152.5 RAM,160-170 RAM,pause every rep,,,,,,,,,,,,,
RAM 2 BD Press- 205-210 max,80-85%x1-3x2-3 belt,video please,,,,,,,,,,,,,,
,170-180 RAM 2 bd,pause every rep,,,,,,,,,,,,,,
Conventional Deads with a defcit - 245 max,45-50%x4 belt ,55-60%x3x1-2 belt ,60-65%x2x4-5 belt  ,video please,,,,,,,,,,,,
"2 mats, bar x10x1-2, 70-75x5x1-2",110-125,135-147.5,145-160,,,,,,,,,,,,,
DB Rows,2-3x8-10 ea side,80-100 lb db,pause it at the top and go 2 seconds on the way back down,,,,,,,,,,,,,
Tricep Pushdowns with Straight Bar,2-3x10,pause the bottom and up slow,"or Weighted Dips bodyweight x5-6, 2-3x3-4  55-110 lbs",,video please of the dips,,,,,,,,,,,
DB Flies,2-3x10-12,35-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Barbell Rollouts,2-3x8-10,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Sunday,16-Mar,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
