Zach Jones 2025 Training Cycle ,,,,,,,,,,,,,,,,
,,if weight or percentage is listed first the secheme is wriiten reps first then sets,,,,,,,,,,,,,,
Week 23,,if no weight or percentage is listed then its written normal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Monday,12-May,,,,,,,,,,,,,,,
Conventional Deads - 245 max,50%x5 belt,60%x4 belt,70%x3x1-2 belt,75-80%x2-3x4-5 belt,video please,,,,,,,,,,,
" bar x10x2, 70-75x6x2",125,147.5,172.5,185-197.5,,,,,,,,,,,,
Deads paused at the knees- 245 max,65-72.5%x2-3x1-2 belt,video please,,,,,,,,,,,,,,
,160-180,,,,,,,,,,,,,,,
Bench- 180 max,50%x3,60%x3,70%x3x2 belt,77.5-80%x2-3x3-4 belt,video please,,,,,,,,,,,
"bar x10x3-4, 60-70x5-6x3-4",90,110,127.5,140-145,pause every rep,,,,,,,,,,,
RAM Press- 210 max,72.5-77.5%x2-3x1-2 belt,82.5-87.5%x1-3x3 belt,video please,,,,,,,,,,,,,
,155-165,175-185,pause every rep,,,,,,,,,,,,,
RAM 2 BD Press- 210 max,87.5-92.5%x1-3x2-3 belt,video please,,,,,,,,,,,,,,
,185-195,pause every rep,,,,,,,,,,,,,,
Straight Bar Tricep Pushdowns,3-5x6-8,,pasue the top and down slow,,,,,,,,,,,,,
Hamstring Curls,2-3x8-10,pause the top and down slow,,,,,,,,,,,,,,
DB Flies,3-5x6-8,40-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Front Elbow Bridge,3-5x:55-:65 Seconds, put 10-25 lbs of plates on your back if very easy ,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tuesday,13-May,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Wednesday,14-May,,,,,,,,,,,,,,,
Bench- 180 max,50%x5,60%x4,70%x3x2 belt,75%x2x5 belt,video please,,,,,,,,,,,
"bar x10x3-4, 60-70x6x3-4",90,110,125-127.5,135,pause every rep,,,,,,,,,,,
2 second Paused Bench- 180 max,65-70%x2x3-4 belt,video please,,,,,,,,,,,,,,
,120-127.5,pause every rep,,,,,,,,,,,,,,
Squats- 230-235 max,50%x5 belt,60%x4 belt,70%x3x1-2 belt,75-80%x2-3x4-5 belt,video please,,,,,,,,,,,
"bar x10x2, 75x3-5x2, 100x3 if needed",120,142.5,165,175-190,,,,,,,,,,,,
Pause Squats- 235 max,65-72.5%x2-3x1-2 belt,video please,,,,,,,,,,,,,,
pause the bottom for a 1-one thousand count at the bottom,155-170,,,,,,,,,,,,,,,
TKEs with a green band,2-3x15-20 ea leg,,,,,,,,,,,,,,,
Pullups,3-4x8,pause the top and down slow,,,,,,,,,,,,,,
DB Flies,3-4x8,40-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Barbell Rollouts,3-4x8,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Thursday,15-May,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Saturday,17-May,,,,,,,,,,,,,,,
Narrow Grip Bench- 180 max,50%x4-5,60%x3-4x2,65-70%x2-3x4-5 belt,video please,,,,,,,,,,,,
"bar x10x3-4, 60x5-6x3-4",90,110,117.5-127.5,pause every rep,,,,,,,,,,,,
Board Press- 2 board  - 180 max,70-75%x3 belt,75-80%x2-3 belt,80-85%x1-3x3-4 belt,video please,,,,,,,,,,,,
,125-135,135-142.5,142.5-152.5,pause every rep,,,,,,,,,,,,
Leg Press,5-6x8-10,,,,,,,,,,,,,,,
Leg Extensions,3-4x8-10,or ,TKEs 3-4x10-15,,,,,,,,,,,,,
Split Grip / Neutral  Lat Pulls,4-5x8-10,pause the end and go slow on the way up ,,,,,,,,,,,,,,
Tricep Pushdowns with Straight Bar,4-5x8-10,pause the bottom and up slow,"or Weighted Dips bodyweight x5-6, 2-3x3-4  55-110 lbs",,,,,,,,,,,,,
Front Elbow Bridge,4-5x:30-:45 Seconds, put 10-25 lbs of plates on your back if very easy ,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Sunday,18-May,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
