Zach Jones 2025 Training Cycle ,,,,,,,,,,,,,,,,
,,if weight or percentage is listed first the secheme is wriiten reps first then sets,,,,,,,,,,,,,,
Week 21,,if no weight or percentage is listed then its written normal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Monday,28-Apr,,,,,,,,,,,,,,,
Conventional Deads - 245 max,50%x5 belt,60%x4 belt,70%x3x1-2 belt,75-80%x2-3x3-4 belt,video please,,,,,,,,,,,
" bar x10x2, 70-75x6x2, 100-105x5 if needed",125,145-147.5,170,185-197.5,,,,,,,,,,,,
Deads paused at the knees- 245 max,65-72.5%x2-3x1-2 belt,video please,,,,,,,,,,,,,,
,160-180,,,,,,,,,,,,,,,
Bench- 180 max,50%x5,60%x4,70%x3x2 belt,77.5-80%x2x5 belt,video please,,,,,,,,,,,
"bar x10x3-4, 60-70x6x3-4",90,110,125-127.5,140-145,pause every rep,,,,,,,,,,,
2 second Paused Bench- 180 max,70-75%x2x4-5 belt,video please,,,,,,,,,,,,,,
,125-135,pause every rep,,,,,,,,,,,,,,
Straight Bar Tricep Pushdowns,4-5x8-10,,pasue the top and down slow,,,,,,,,,,,,,
Hamstring Curls,2-3x10,pause the top and down slow,,,,,,,,,,,,,,
Pullups,3-4x8-10,pause the top and down slow,,,,,,,,,,,,,,
DB Flies,3-4x8-10,40-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Front Elbow Bridge,3-4x:65-:75 Seconds, put 10-25 lbs of plates on your back if very easy ,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tuesday,29-Apr,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Wednesday,30-Apr,,,,,,,,,,,,,,,
Equipped Bench- 210-215 max,60-62.5%x1-2,67.5-70%x1-2 shirt,75-77.5%x1 shirt ,82.5-85%x1x1-2 belt shirt,90-92.5%x1x4-5 belt shirt,video please,,,,,,,,,,
