Zach Jones 2025 Training Cycle ,,,,,,,,,,,,,,,,
,,if weight or percentage is listed first the secheme is wriiten reps first then sets,,,,,,,,,,,,,,
Week 8,,if no weight or percentage is listed then its written normal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Monday,27-Jan,,,,,,,,,,,,,,,
Equipped Squats- 270 max,50-55%x5 belt SD,60-65%x4 belt SD ,70-75%x3x1-2 belt  SD/SU wraps,80-85%x2-3x4-5  belt SD/SU wraps,video please,,,,,,,,,,,
"bar x10x2-3, 75x6x2-3, 105-120x5 belt",132-5-150,160-177.5,185-205,210-230,new suit,,,,,,,,,,,
Bench- 175-180 max,50%x3,60%x3,70%x3x2 belt,80%x2-3x5 belt,video please,,,,,,,,,,,
"bar x10x2, 60x4-5x2",90,107.5-110,125-127.5,145,pause every rep,,,,,,,,,,,
2 second Paused Bench- 175-180 max,72.5-75%x2-3x4 belt,video please,,,,,,,,,,,,,,
,130-135,pause every rep,,,,,,,,,,,,,,
Tricep Pushdowns with Straight Bar,3-4x8,pause the bottom and up slow,,,,,,,,,,,,,,
DB Front Raises seated,3-4x8,40-50 lb dbs,pasue the top and down slow,,,,,,,,,,,,,
Barbell Rollouts,3-4x8,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tuesday,28-Jan,,,,,,,,,,,,,,,
30 minutes of light to medium cardio,work in 5-10 sled pushes for 25 yards into the 15-30 minutes of cardio with a 3 to 1 rest to work ratio ,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Wednesday,29-Jan,,,,,,,,,,,,,,,
Equipped Bench- 215 max,62.5-65%x1,70-72.5%x1 shirt,77.5-80%x1x1-2 shirt ,85-87.5%x1x1-2 belt shirt,92.5-97.5%x1x3 belt shirt,video please,wear your 42 RAGE X,,,,,,,,,
"bar x8-10x1-2, 60-70x3-4x1-2, 90-95x1, 110-115x1",135-140 slingshot or old Ram,155-160  2.5-2 bd,170-175. 1.5-1 bd,185-190 1-.5 bd,200-210 .5-no bd,pause all reps,,,,,,,,,,
Equipped Board Press- 2 board - 215 max,100-105%x1x2-3 belt shirt,video please,wear your 42 RAGE X,,,,,,,,,,,,,
2 board,215-225,pause all reps,,,,,,,,,,,,,,
Conventional Deads with a defcit - 245 max,55-57.5%x4-5 belt ,65-67.5%x3-4x2-3 belt ,75-77.5%x2-3x5 belt  ,video please,,,,,,,,,,,,
"2 mats, bar x10x2, 70-75x6x2, 110-120x5",135-142.5,160-165,182.5-190,,,,,,,,,,,,,
Pullups,4-5x8,pause the top and down slow,,,,,,,,,,,,,,
DB Flies,4-5x8,40-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Front Elbow Bridge,4-5x:65-:75 Seconds, put 10-25 lbs of plates on your back if very easy ,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Thursday,30-Jan,,,,,,,,,,,,,,,
30-60 minutes of light to medium cardio,work in 5-10 sled pushes for 25 yards into the 15-30 minutes of cardio with a 3 to 1 rest to work ratio ,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Friday,31-Jan,,,,,,,,,,,,,,,
Narrow Grip Bench- 175-180 max,50%x3,60%x3x2,70%x2x4-5 belt,video please,,,,,,,,,,,,
"bar x10x1-2, 60-70x4-5x1-2",90,107.5-110,125-127.5,pause every rep,,,,,,,,,,,,
Board Press- 2 board  - 175-180 max,75-77.5%x3 belt,80-82.5%x2-3x1-2 belt,85-87.5%x1-2x3-4 belt,video please,,,,,,,,,,,,
,135-150,145-150,152.5-160,pause every rep,,,,,,,,,,,,
Squats- 230 max,50%x3-5 belt,60%x3-4 belt,70%x3x1-2 belt,75-77.5%x2-3x4-5 belt,video please,,,,,,,,,,,
"bar x10x1-2, 65-75x5-6x1-2",115,140,162.5,172.5-180,,,,,,,,,,,,
DB Rear Delt Raises,3-4x8,35-45 lb dbs,,,,,,,,,,,,,,
Barbell Rollouts,3-4x8,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Saturday,1-Feb,,,,,,,,,,,,,,,
Equipped Deads - Conventional- 255 max,50-55%x4-5 belt SD,60-65%x3-4 belt SD ,70-75%x3x1-2 belt  SD/SU ,80-85%x2-3x3-4  belt SU ,video please,,,,,,,,,,,
"bar x10x2, 75x6x2, 105-115x4-5 belt",130-140,155-167.5,180-192.5,205-217.5,,,,,,,,,,,,
Equipped Deads off the blocks- Conventional- 255 Max,75-82.5%x2-3 belt SD/SU,85-90%x2-3x1-2 belt SU,video please,,,,,,,,,,,,,
bar starts 2-3 inches below the knees,192.5-210,217.5-230,,,,,,,,,,,,,,
Bench- 177.5-180 max,50%x3,60%x3,70%x3x2 belt,75-77.5%x2-3x2 belt,video please,,,,,,,,,,,
"bar x10x1-2, 60-70x6x1-2",90,107.5-110,125-127.5,135-140,pause every rep,,,,,,,,,,,
RAM Press- 205 max,70-75%x3 belt,75-80%x2-3 belt,80-85%x1-3x2-3 belt,video please,,,,,,,,,,,,
,145-155,155-165,165-175,pause every rep,,,,,,,,,,,,
RAM 2 BD Press- 205 max,85-90%x1-3x2 belt,video please,,,,,,,,,,,,,,
,175-185 RAM ,pause every rep,,,,,,,,,,,,,,
Overhead Shoulder Press- 85 max,50%x5,60%x4,70%x3 belt,video please,,,,,,,,,,,,
bar x8-10,45,50,60,pause every rep,,,,,,,,,,,,
DB Rows,2-3x8-10 ea side,90-115 lb db,pause it at the top and go 2 seconds on the way back down,,video please of the dips,,,,,,,,,,,
Weighted Dips,"bodyweight x5-6, 1-2x3-4 reps  65-115 lbs",,video please,"head down, knees bent and feet crossed over and behind you, hips pushed forward, down slow, pause the top",,,,,,,,,,,,
Front Elbow Bridge,2-4x:55-:65 Seconds, put 10-25 lbs of plates on your back if very easy ,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Sunday,2-Feb,,,,,,,,,,,,,,,
30-60 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
