Zach Jones 2024 Training Cycle ,,,,,,,,,,,,,,,,
,,if weight or percentage is listed first the secheme is wriiten reps first then sets,,,,,,,,,,,,,,
Week 4,,if no weight or percentage is listed then its written normal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Monday,30-Dec,,,,,,,,,,,,,,,
Bench- 177.5-180 max,50%x5,60%x4,70%x3x2 belt,80%x3x3 belt,video please,,,,,,,,,,,
"bar x10x1-2, 60-70x6x1-2",90,107.5-110,125-127.5,145,pause every rep,,,,,,,,,,,
RAM Press- 205 max,80-82.5%x3x1-2 belt,85-90%x2-3x1-2 belt,92.5-97.5%x1-3x3 belt,video please,,,,,,,,,,,,
,165-170 RAM,175-185 RAM,190-200 RAM,pause every rep,,,,,,,,,,,,
RAM 2 BD Press- 205 max,97.5-105%x1-3x2-3 belt,video please,,,,,,,,,,,,,,
,200-215  RAM 2 bd,pause every rep,,,,,,,,,,,,,,
Squats- 230 max,50-52.5%x5 belt,60-62.5%x4 belt,70-72.5%x3x2 belt,80-82.5%x2-3x5 belt,video please,,,,,,,,,,,
"bar x10x1-2, 65-75x6x1-2",115-122.5,137.5-145,160-167.5,182.5-190,,,,,,,,,,,,
Tricep Pushdowns with Straight Bar,3-4x10-12,pause the bottom and up slow,,,,,,,,,,,,,,
DB Front Raises seated,3-4x10-12,40-50 lb dbs,pasue the top and down slow,,,,,,,,,,,,,
Barbell Rollouts,3-4x10-12,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tuesday,31-Dec,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,work in 5-10 sled pushes for 25 yards into the 15-30 minutes of cardio with a 3 to 1 rest to work ratio ,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Wednesday,1-Jan,,,,,,,,,,,,,,,
Bench- 177.5-180 max,50%x6,60%x5,70%x4-5 belt,75%x3-4x2 belt,80%x2-3x2 belt,video please,,,,,,,,,,
"bar x10x1-2, 60-70x6x1-2",90,107.5-110,125-127.5,135,145,pause every rep,,,,,,,,,,
85%x2x2 belt,80%x3x2 belt,75%x4x2 belt,70%x5-6 belt,60%x8-10,50%x10-12,video please,,,,,,,,,,
155,145,135,125-127.5,107.5-110,90,pause every rep,,,,,,,,,,
Conventional Deads - 245 max,52.5-55%x5 belt,62.5-65%x4 belt,72.5-75%x3x2 belt,82.5-85%x2x5 belt,video please,,,,,,,,,,,
" bar x10x2, 70-75x6x2, 105-110x5",130-135,155-160,180-185,202.5-210,,,,,,,,,,,,
Pullups,3-4x10-12,pause the top and down slow,,,,,,,,,,,,,,
DB Flies,3-4x12,35-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Front Elbow Bridge,3-4x:60-:70 Seconds, put 10-25 lbs of plates on your back if very easy ,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Thursday,2-Jan,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,work in 5-10 sled pushes for 25 yards into the 15-30 minutes of cardio with a 3 to 1 rest to work ratio ,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Friday,3-Jan,,,,,,,,,,,,,,,
Bench- 177.5-180 max,50%x5,60%x4,70%x3x2 belt,77.5-80%x2x5 belt,video please,,,,,,,,,,,
"bar x10x2, 60x6x2",90,107.5-110,125-127.5,140-145,pause every rep,,,,,,,,,,,
RAM Press- 205 max,77.5-80%x2-3x2 belt,85-90%x2x2-3 belt,video please,,,,,,,,,,,,,
,160-165 RAM,172.5-185 RAM,pause every rep,,,,,,,,,,,,,
Squats- 230 max,52.5-55%x5 belt,62.5-65%x4-5x2 belt,72.5-75%x3-4x4-5 belt,video please,,,,,,,,,,,,
"bar x10x1-2, 65-75x6x1-2",120-127.5,145-150,165-175,,,,,,,,,,,,,
Barbell Standing Shoulder Press,"bar x6-8, 3-4x3-4",60-70 kgs,video please,,,,,,,,,,,,,
DB Rear Delt Raises,3-4x8,35-45 lb dbs,,,,,,,,,,,,,,
Barbell Rollouts,3-4x8,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Saturday,4-Jan,,,,,,,,,,,,,,,
Bench- 177.5-180 max,55%x4-5,65%x3-4x2,75%x2-3x4-5 belt,video please,,,,,,,,,,,,
"bar x10x1-2, 60x5-6x1-2",100,117.5,135,pause every rep,,,,,,,,,,,,
