Zach Jones 2025 Training Cycle ,,,,,,,,,,,,,,,,
,,if weight or percentage is listed first the secheme is wriiten reps first then sets,,,,,,,,,,,,,,
Week 16,,if no weight or percentage is listed then its written normal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Monday,24-Mar,,,,,,,,,,,,,,,
Squats- 230-235 max,50-52.5%x5 belt,60-62.5%x4 belt,70-72.5%x3x2 belt,77.5-82.5%x2-3x3-4 belt,video please,,,,,,,,,,,
"bar x10x1-2, 75x6x1-2, 100-105x5 if needed",120-125,142.5-150,165-172.5,180-195,,,,,,,,,,,,
Pause Squats- 230-235 max,65-75%x2-3x1-2 belt,video please,,,,,,,,,,,,,,
pasue the bottom for a 1-one thousand count at the bottom,157.5-177.5,,,,,,,,,,,,,,,
Bench- 175 max,50%x5,60%x4,70%x3x2 belt,80%x3x3-4 belt,video please,,,,,,,,,,,
"bar x10x3-4, 60x6x3-4",87.5-90,105,122.5-125,140,pause every rep,,,,,,,,,,,
RAM Press- 205-210 max,75-77.5%x2-3x1-2 belt,82.5-87.5%x2-3x3-4 belt,video please,,,,,,,,,,,,,
,160-165,172.5-185,pause every rep,,,,,,,,,,,,,
RAM 2 BD Press- 205-210 max,87.5-92.5%x1-3x3 belt,video please,,,,,,,,,,,,,,
,185-195,pause every rep,,,,,,,,,,,,,,
TKEs with a green band,2-3x15-20 ea leg,,,,,,,,,,,,,,,
DB Flies,3-5x10-12,40-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Straight Bar Tricep Pushdowns,3-5x10-12,,pasue the top and down slow,,,,,,,,,,,,,
Barbell Rollouts,3-4x10-12,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tuesday,25-Mar,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,work in 5-10 sled pushes for 25 yards into the 15-30 minutes of cardio with a 3 to 1 rest to work ratio ,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Wednesday,26-Mar,,,,,,,,,,,,,,,
Conventional Deads - 245 max,50-52.5%x5 belt,60-62.5%x4 belt,70-72.5%x3x2 belt,77.5-82.5%x2-3x3-4 belt,video please,,,,,,,,,,,
" bar x10x2, 70-75x6x2, 100-105x5 if needed",125-130,145-155,170-180,190-202.5,,,,,,,,,,,,
Deads paused at the knees- 245 max,65-75%x2-3x1-2 belt,video please,,,,,,,,,,,,,,
,160-185,,,,,,,,,,,,,,,
Bench- 175 max,50%x6,60%x5,70%x4-5x2 belt,75%x3-4x2 belt,video please,,,,,,,,,,,
"bar x10-12x3-4, 60x6x3-4",90,105,125,132.5,pause every rep,,,,,,,,,,,
80%x3x3 belt,75%x4x2 belt,70%x5-6x2 belt,60%x8-9,50%x10-11,video please,,,,,,,,,,,
140,132.5,125,105,90,pause every rep,,,,,,,,,,,
Hamstring Curls,2-3x10-12,pause the top and down slow,,,,,,,,,,,,,,
Pullups,3-5x10-12,pause the top and down slow,,,,,,,,,,,,,,
DB Flies,3-5x12,35-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Front Elbow Bridge,3-4x:60-:70 Seconds, put 10-25 lbs of plates on your back if very easy ,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Thursday,27-Mar,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,work in 5-10 sled pushes for 25 yards into the 15-30 minutes of cardio with a 3 to 1 rest to work ratio ,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Friday,28-Mar,,,,,,,,,,,,,,,
Bench- 175 max,50%x5,60%x4,70%x3x2 belt,80%x3x5 belt,video please,,,,,,,,,,,
"bar x10x3-4, 60x6x3-4",87.5-90,105,122.5-125,140,pause every rep,,,,,,,,,,,
2 second Paused Bench- 175 max,70-75%x2-3x4-5 belt,video please,,,,,,,,,,,,,,
,122.5-132.5,pause every rep,,,,,,,,,,,,,,
Squats- 230-235 max,50-52.5%x5 belt,60-62.5%x5x1-2 belt,70-72.5%x4-5x3-4 belt,video please,,,,,,,,,,,,
"bar x10x2, 75x6x2, 100-105x5 if needed",120-125,142.5-150,165-172.5,,,,,,,,,,,,,
High Bar or Saftery Bar Squats - 230-235 max,60-67.5%x4-5x1-2 belt,,,,,,,,,,,,,,,
feet a little closer than normal ,142.5-160,video please,,,,,,,,,,,,,,
Leg Press,2-3x6-8,,,,,,,,,,,,,,,
DB Rear Delt Raises,3-5x8,35-45 lb dbs,,,,,,,,,,,,,,
DB Flies,3-5x8,35-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Barbell Rollouts,3-4x8,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Saturday,29-Mar,,,,,,,,,,,,,,,
Bench- 175 max,52.5%x4-5,62.5%x3-4x2,72.5%x2-3x4-5 belt,video please,,,,,,,,,,,,
"bar x10x3-4, 60x5-6x3-4",92.5,110,127.5,pause every rep,,,,,,,,,,,,
Board Press- 2 board  - 175 max,77.5-80%x3 belt,82.5-85%x2-3 belt,87.5-90%x1-3x3-4 belt,video please,,,,,,,,,,,,
,135-140,145-150,152.5-160,pause every rep,,,,,,,,,,,,
Conventional Deads with a defcit - 245 max,50-52.5%x4-5 belt ,60-62.5%x3-4x1-2 belt ,70-72.5%x2-3x3-4 belt  ,video please,,,,,,,,,,,,
"2 mats, bar x10x2, 70-75x5-6x2",125-130,145-155,170-180,,,,,,,,,,,,,
Conventional Deads - 245 max,70-72.5%x4-5x1-2  belt  ,video please,,,,,,,,,,,,,,
,170-180,,,,,,,,,,,,,,,
Reverse Hypers,2-3x10,,,,,,,,,,,,,,,
DB Rows,3-5x10-12 ea side,85-105 lb db,pause it at the top and go 2 seconds on the way back down,,video please of the dips,,,,,,,,,,,
Tricep Pushdowns with Straight Bar,3-5x10-12,pause the bottom and up slow,"or Weighted Dips bodyweight x5-6, 2-3x3-4  55-110 lbs",,,,,,,,,,,,,
Front Elbow Bridge,3-4x:65-:75 Seconds, put 10-25 lbs of plates on your back if very easy ,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Sunday,30-Mar,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
