Zach Jones 2025 Training Cycle ,,,,,,,,,,,,,,,,
,,if weight or percentage is listed first the secheme is wriiten reps first then sets,,,,,,,,,,,,,,
Week 18,,if no weight or percentage is listed then its written normal,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Monday,7-Apr,,,,,,,,,,,,,,,
Squats- 235 max,55%x5 belt,65%x4 belt,75%x3x1-2 belt,85%x2x3-4 belt,video please,,,,,,,,,,,
"bar x10x1-2, 75x6x1-2, 105x5",130,155,177.5,200,,,,,,,,,,,,
Pause Squats- 235 max,75-77.5%x2x1-2 belt,video please,,,,,,,,,,,,,,
pasue the bottom for a 1-one thousand count at the bottom,175-182.5,,,,,,,,,,,,,,,
Bench- 180 max,52.5%x5,62.5%x4,72.5%x3x2 belt,82.5%x3x3-4 belt,video please,,,,,,,,,,,
"bar x10x3-4, 60-70x6x3-4",92.5,110,127.5,145,pause every rep,,,,,,,,,,,
RAM Press- 210 max,77.5-80%x3x1-2 belt,85-87.5%x2-3x1-2 belt,90-92.5%x1-3x2-3 belt,video please,,,,,,,,,,,,
,165-170,180-185,190-195,pause every rep,,,,,,,,,,,,
RAM 2 BD Press- 210 max,95-97.5%x1-3x2-3 belt,video please,,,,,,,,,,,,,,
,200-205,pause every rep,,,,,,,,,,,,,,
TKEs with a green band,2-3x15-20 ea leg,,,,,,,,,,,,,,,
DB Flies,3-5x10-12,40-50 lb dbs,"pause the top and down slow, arms bent slightly",,,,,,,,,,,,,
Straight Bar Tricep Pushdowns,3-5x10-12,,pasue the top and down slow,,,,,,,,,,,,,
Barbell Rollouts,3-4x10-12,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tuesday,8-Apr,,,,,,,,,,,,,,,
15-30 minutes of light to medium cardio,work in 5-10 sled pushes for 25 yards into the 15-30 minutes of cardio with a 3 to 1 rest to work ratio ,,,,,,,,,,,,,,,
Roll/Stretch lower Roll upper with lacrosse ball/Upper Stretch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Wednesday,9-Apr,,,,,,,,,,,,,,,
